nombre,documento,fondo,institucion,motivo,fecha
Pancho,1245777188,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1569847070,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1654367750,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1924786103,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1109834471,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1022392993,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1553795016,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1611100249,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1197329049,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Paula,1980517687,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1209740157,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1339608409,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1612733787,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1461510734,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1050890901,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1466419785,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1937978545,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1197637730,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1321267210,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1190150248,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1441889476,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1868370962,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1205323349,Inpec,Pública,Rechazado: Nació y reside en Cali,2024-11-16
Dahiana,1830825824,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1991657511,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1522460442,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1895850706,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Espinoza,1226620000,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1301805965,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1266157927,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1442961876,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1572828367,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1302367430,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1996401766,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1619249822,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1584081420,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1942463173,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1946843559,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1274952424,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1243598842,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1434607807,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1484234708,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1370081439,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1831611630,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1987613971,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1003874559,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Espinoza,1187606490,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1648655593,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1571790756,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1042931761,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1646045984,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1978981565,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1964056625,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1542351703,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1040732609,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1946615890,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Paula,1740400969,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1903694402,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1149177321,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1110360071,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1384347420,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1202617230,Policia,Civil,Rechazado: Nació y reside en Cali,2024-11-16
Lucia,1137725470,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1938044821,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1875593740,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1377409824,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1158775751,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1950638550,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1040978764,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1838150492,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1789485464,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1080268078,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1695438163,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Paula,1133202665,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1967006414,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1084520745,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1004637318,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1432331396,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1341714145,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1015383835,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1869855285,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1308882487,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1430080991,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Pancho,1460378030,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1753508061,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1064644557,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1904436095,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1811298738,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1534505837,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1721219620,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1128354003,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1056918115,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1931240754,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1459335907,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1536800692,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1768900025,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Anuel,1105036421,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1781402460,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1458063643,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Paula,1380540716,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1952050770,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1366497264,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1172885431,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1712549204,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Anuel,1857414964,Inpec,Pública,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1004922609,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1448544171,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1374235470,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Espinoza,1268226865,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Paula,1588486824,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1758294003,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1627789207,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1372589051,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1853979223,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1548967318,Inpec,Pública,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Dahiana,1689076439,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1667551086,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1828064134,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Paula,1143967206,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1331327696,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1988113884,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1575272346,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1054552607,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1480614025,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1332879821,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1917241199,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1298232205,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Paula,1356098909,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1638068475,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1363376348,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1254475638,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1676225991,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1323281568,Inpec,Pública,Rechazado: Nació y reside en Cali,2024-11-16
Lucia,1174253941,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1815230028,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Paula,1059283096,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1228499838,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1990643191,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1413339853,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1242152486,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1646848001,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1880546267,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1517950330,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1423245236,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1998297469,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Paula,1753642028,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1937279066,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1347766331,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1199998497,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1958146136,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1394310249,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1963387195,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1445759229,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Paula,1883981682,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1546125930,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1297975212,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1082183316,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1803539328,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1472423816,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1376805931,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1981985069,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1943129328,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1023947263,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1805308277,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1261317796,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1577565391,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1231343670,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1561163260,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1547466194,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Pancho,1404856739,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1866155439,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1921007490,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1478368827,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1439569155,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1224966162,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1395367098,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1357303904,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1852148405,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Pancho,1715473442,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1938754963,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1240164931,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1395278354,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1599915092,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1701399322,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1894371686,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1181172405,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1477692032,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1670931403,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1555038141,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1899415113,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1974345938,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1268307999,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1330057025,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Pancho,1837409255,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1620916268,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1250220253,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1726857927,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1732376825,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1929016435,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1822968964,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1342514877,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Paula,1924561516,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1983714434,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1312282093,Colfondos,Civil,Rechazado: Nació y reside en Cali,2024-11-16
Orlando,1768887664,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1641808935,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1621532778,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1579306785,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1100421536,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1501458149,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1418033861,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1823506361,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1697210044,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1282180763,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1495499930,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1148218379,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1187991606,Policia,Civil,Rechazado: Nació y reside en Cali,2024-11-16
Lucia,1474345832,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1092858497,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1950539772,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1649427067,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1699378989,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1779672895,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
