,Nombre,Documento,Edad,Semanas_Cotizadas,Fondo,Ciudad,Pais,Detalles,Genero,En_Lista_Negra_6_Meses,Pre_pensionado
55,Elena,8140756148,99,256,Fondo extranjero,Manila,Filipinas,,Masculino,False,False
56,Isabel,2809598656,41,646,Policía,Roma,Italia,Tiene familiares en la Policía|No es el de mayor edad,Masculino,True,False
57,Ana,9344969209,87,342,Armada,Abu Dabi,Emiratos Árabes Unidos,No tiene condecoración,Masculino,True,True
58,Monica,4803515439,94,629,Armada,Manila,Filipinas,No tiene condecoración,Femenino,False,True
59,Isabel,8624477458,68,333,Policía,Londres,Reino Unido,Tiene familiares en la Policía|No es el de mayor edad,Masculino,True,True
60,Elena,4126250755,39,554,Protección,Manila,Filipinas,,Femenino,False,False
61,Lucia,9917726335,96,39,Mininterior,Bangkok,Tailandia,No tiene observación disciplinaria,Masculino,True,False
62,Alejandro,6852792369,20,41,Fondo extranjero,Roma,Italia,,Masculino,False,True
63,Monica,9973411272,36,168,Minsalud,Roma,Italia,No tiene observación disciplinaria,Femenino,True,False
64,Monica,2803260513,51,360,Old Mutual,Bangkok,Tailandia,,Masculino,False,False
65,Isabel,8859078120,94,797,Minsalud,Barcelona,España,Tiene observación disciplinaria,Masculino,True,True
66,Pablo,8106867020,100,732,Fondo extranjero,Bangkok,Tailandia,,Masculino,False,False
67,Mariana,8841654281,97,109,Inpec,Singapur,Singapur,No tiene hijos en el Inpec|No tiene condecoración,Masculino,True,False
68,Jorge,6379225170,33,114,Fondo extranjero,Manila,Filipinas,,Femenino,False,True
69,Isabel,9104472156,37,795,Colfondos,Cartagena,Colombia,,Masculino,True,False
70,Pablo,6975214247,26,354,Mininterior,Madrid,España,No tiene observación disciplinaria,Masculino,True,True
71,Isabel,2327215204,68,138,Porvenir,Barcelona,España,,Femenino,True,True
72,Mariana,4516211903,87,231,Protección,Madrid,España,,Femenino,False,True
73,Pablo,8135173693,60,197,Fondo extranjero,Madrid,España,,Masculino,True,False
74,Ana,1599156026,38,251,Minsalud,Singapur,Singapur,No tiene observación disciplinaria,Femenino,False,False
75,Alejandro,2665745754,86,408,Colfondos,Bangkok,Tailandia,,Femenino,False,False
76,Mariana,8892609771,39,160,Minsalud,Abu Dabi,Emiratos Árabes Unidos,No tiene observación disciplinaria,Masculino,False,True
77,Lucia,1737848688,54,391,Inpec,Londres,Reino Unido,Tiene hijos en el Inpec|No tiene condecoración,Masculino,True,False
78,Pablo,8177068754,58,446,Armada,Bangkok,Tailandia,Tiene condecoración,Femenino,True,True
79,Mariana,4905618499,99,461,Mininterior,París,Francia,Tiene observación disciplinaria,Masculino,False,True
80,Carlos,2181839082,77,359,Inpec,Singapur,Singapur,No tiene hijos en el Inpec|Tiene condecoración,Femenino,False,False
81,Isabel,9447445673,37,529,Policía,Roma,Italia,Tiene familiares en la Policía|No es el de mayor edad,Masculino,True,True
82,Jorge,3606964797,87,444,Minsalud,París,Francia,Tiene observación disciplinaria,Masculino,False,False
83,Monica,3740030638,24,701,Colfondos,Abu Dabi,Emiratos Árabes Unidos,,Masculino,False,True
84,Alejandro,3891716180,75,12,Inpec,Abu Dabi,Emiratos Árabes Unidos,Tiene hijos en el Inpec|No tiene condecoración,Masculino,True,False
85,Elena,4077078618,93,413,Porvenir,Manila,Filipinas,,Femenino,True,False
86,Monica,6944993315,30,24,Protección,Madrid,España,,Femenino,False,False
87,Mariana,3638219024,43,150,Armada,Bangkok,Tailandia,No tiene condecoración,Masculino,False,False
88,Lucia,7933364321,94,386,Armada,Madrid,España,No tiene condecoración,Femenino,True,True
89,Mariana,9547417286,83,114,Old Mutual,Abu Dabi,Emiratos Árabes Unidos,,Femenino,True,False
90,Carlos,4981340802,78,382,Inpec,Londres,Reino Unido,No tiene hijos en el Inpec|No tiene condecoración,Masculino,True,False
91,Monica,9778316695,31,313,Policía,Singapur,Singapur,Tiene familiares en la Policía|No es el de mayor edad,Femenino,False,False
92,Jorge,8079557121,55,571,Minsalud,Abu Dabi,Emiratos Árabes Unidos,Tiene observación disciplinaria,Femenino,False,False
93,Jorge,2722763212,90,16,Porvenir,Cartagena,Colombia,,Masculino,False,True
94,Jorge,8712246101,84,330,Armada,Madrid,España,No tiene condecoración,Femenino,False,True
95,Isabel,1279573697,61,673,Porvenir,Londres,Reino Unido,,Masculino,True,True
96,Elena,8688548057,39,796,Colfondos,Barcelona,España,,Femenino,False,True
97,Ana,9426151865,61,474,Inpec,Abu Dabi,Emiratos Árabes Unidos,No tiene hijos en el Inpec|No tiene condecoración,Masculino,False,True
98,Pablo,7747615635,42,517,Mininterior,Manila,Filipinas,Tiene observación disciplinaria,Masculino,False,False
99,Isabel,7040855486,32,154,Fondo extranjero,París,Francia,,Femenino,False,False
100,Monica,9894147861,90,49,Old Mutual,París,Francia,,Femenino,True,False
101,Monica,7956813190,87,219,Armada,Singapur,Singapur,No tiene condecoración,Femenino,False,False
102,Monica,3172851698,98,536,Mininterior,Singapur,Singapur,No tiene observación disciplinaria,Masculino,False,True
103,Elena,1101411674,38,35,Inpec,Singapur,Singapur,Tiene hijos en el Inpec|Tiene condecoración,Masculino,False,False
104,Carlos,9721901606,81,98,Policía,Abu Dabi,Emiratos Árabes Unidos,Tiene familiares en la Policía|No es el de mayor edad,Femenino,True,True
105,Elena,2588542167,71,174,Protección,Roma,Italia,,Masculino,False,False
106,Ana,7020000257,69,577,Porvenir,Abu Dabi,Emiratos Árabes Unidos,,Masculino,False,True
107,Ana,6045699437,47,663,Minsalud,Londres,Reino Unido,No tiene observación disciplinaria,Femenino,False,True
108,Mariana,8915821011,83,333,Policía,Abu Dabi,Emiratos Árabes Unidos,Tiene familiares en la Policía|No es el de mayor edad,Masculino,False,False
109,Pablo,6399452768,65,48,Minsalud,Abu Dabi,Emiratos Árabes Unidos,No tiene observación disciplinaria,Femenino,True,True
110,Carlos,7333278346,79,414,Old Mutual,Cartagena,Colombia,,Femenino,True,False
111,Jorge,9080406469,57,790,Porvenir,Bangkok,Tailandia,,Femenino,True,True
112,Pablo,2489502353,100,87,Armada,Cartagena,Colombia,No tiene condecoración,Femenino,True,True
113,Jorge,6960303002,89,155,Protección,Barcelona,España,,Femenino,False,True
114,Ana,1606206553,73,673,Mininterior,Singapur,Singapur,No tiene observación disciplinaria,Masculino,False,True
115,Isabel,3398767194,94,274,Minsalud,Abu Dabi,Emiratos Árabes Unidos,No tiene observación disciplinaria,Masculino,True,True
116,Carlos,8207526675,76,652,Old Mutual,Cartagena,Colombia,,Femenino,False,True
117,Carlos,4040080038,24,387,Fondo extranjero,Madrid,España,,Masculino,True,False
118,Monica,8119658102,80,339,Porvenir,Bangkok,Tailandia,,Femenino,False,True
119,Ana,8840911862,29,659,Porvenir,Madrid,España,,Masculino,True,False
120,Jorge,6092326132,25,322,Old Mutual,Cartagena,Colombia,,Masculino,True,False
121,Jorge,8403089540,69,306,Inpec,Londres,Reino Unido,No tiene hijos en el Inpec|No tiene condecoración,Femenino,False,True
122,Alejandro,5047453212,29,568,Minsalud,Barcelona,España,Tiene observación disciplinaria,Masculino,False,True
123,Pablo,9728259558,52,486,Fondo extranjero,Madrid,España,,Masculino,False,False
124,Carlos,9623090469,22,300,Fondo extranjero,Singapur,Singapur,,Femenino,True,False
125,Lucia,2961588501,29,664,Armada,Londres,Reino Unido,No tiene condecoración,Masculino,True,True
126,Lucia,6072882354,56,421,Policía,Londres,Reino Unido,Tiene familiares en la Policía|No es el de mayor edad,Femenino,True,True
127,Elena,1831104065,43,578,Mininterior,Singapur,Singapur,Tiene observación disciplinaria,Femenino,False,False
128,Monica,9987861703,96,385,Policía,Madrid,España,Tiene familiares en la Policía|No es el de mayor edad,Femenino,False,False
129,Pablo,6282295674,46,724,Fondo extranjero,Barcelona,España,,Masculino,True,False
130,Ana,6217285633,20,140,Mininterior,Roma,Italia,Tiene observación disciplinaria,Femenino,True,False
131,Isabel,3127659060,26,698,Inpec,Manila,Filipinas,No tiene hijos en el Inpec|Tiene condecoración,Masculino,True,False
132,Carlos,8407918363,77,151,Mininterior,Cartagena,Colombia,Tiene observación disciplinaria,Femenino,True,True
133,Jorge,3386298190,92,64,Old Mutual,Madrid,España,,Femenino,True,False
134,Jorge,8151751828,50,379,Inpec,Barcelona,España,Tiene hijos en el Inpec|Tiene condecoración,Masculino,True,False
135,Ana,5948560959,71,314,Mininterior,Roma,Italia,No tiene observación disciplinaria,Femenino,False,False
136,Isabel,6796755607,70,700,Minsalud,Abu Dabi,Emiratos Árabes Unidos,No tiene observación disciplinaria,Femenino,True,True
137,Mariana,7256396091,26,345,Inpec,Roma,Italia,No tiene hijos en el Inpec|Tiene condecoración,Masculino,True,True
138,Jorge,8465259718,65,307,Policía,Cartagena,Colombia,Tiene familiares en la Policía|No es el de mayor edad,Masculino,True,False
139,Isabel,6304965712,23,632,Inpec,Londres,Reino Unido,Tiene hijos en el Inpec|No tiene condecoración,Femenino,True,True
140,Alejandro,5776223636,81,339,Protección,Abu Dabi,Emiratos Árabes Unidos,,Masculino,True,False
141,Mariana,7675619897,36,58,Porvenir,Singapur,Singapur,,Femenino,True,False
142,Pablo,6597399478,100,127,Porvenir,Singapur,Singapur,,Femenino,False,False
143,Pablo,5972651353,60,644,Protección,Bangkok,Tailandia,,Masculino,True,False
144,Lucia,6882010046,35,460,Old Mutual,Madrid,España,,Femenino,True,False
145,Ana,1259737228,46,707,Old Mutual,Singapur,Singapur,,Masculino,False,True
146,Ana,5054901884,33,506,Minsalud,París,Francia,Tiene observación disciplinaria,Femenino,True,False
147,Pablo,7258091079,61,387,Colfondos,Roma,Italia,,Femenino,True,False
148,Isabel,5404305169,24,116,Policía,Cartagena,Colombia,Tiene familiares en la Policía|No es el de mayor edad,Masculino,True,False
149,Mariana,6630692730,23,181,Fondo extranjero,Manila,Filipinas,,Femenino,True,False
150,Jorge,7800833146,71,672,Armada,París,Francia,Tiene condecoración,Masculino,False,False
151,Mariana,9814851082,29,513,Protección,Londres,Reino Unido,,Masculino,False,True
152,Elena,5016366484,18,179,Colfondos,Roma,Italia,,Masculino,False,False
153,Carlos,4627214800,72,670,Protección,Londres,Reino Unido,,Femenino,True,False
154,Pablo,9418676841,40,240,Protección,Barcelona,España,,Femenino,False,False
155,Elena,8996988147,87,614,Armada,Londres,Reino Unido,Tiene condecoración,Femenino,False,False
156,Pablo,4168113009,84,719,Old Mutual,Roma,Italia,,Masculino,True,True
157,Lucia,1270443660,76,775,Colfondos,Singapur,Singapur,,Masculino,False,False
158,Monica,3509864471,84,703,Minsalud,Manila,Filipinas,Tiene observación disciplinaria,Masculino,True,True
159,Elena,9618334230,98,351,Minsalud,Manila,Filipinas,Tiene observación disciplinaria,Masculino,True,True
160,Lucia,4588251080,80,758,Protección,Madrid,España,,Femenino,True,False
161,Carlos,7434902268,69,184,Fondo extranjero,Cartagena,Colombia,,Masculino,True,True
162,Monica,9673085460,71,557,Protección,Cartagena,Colombia,,Masculino,True,True
163,Isabel,5991547776,32,86,Protección,París,Francia,,Femenino,True,False
164,Pablo,7403943068,81,198,Fondo extranjero,Cartagena,Colombia,,Femenino,False,True
165,Mariana,1060351563,41,489,Protección,Singapur,Singapur,,Femenino,False,True
166,Alejandro,8362775166,87,419,Porvenir,Roma,Italia,,Femenino,False,True
167,Jorge,5113699225,35,646,Old Mutual,París,Francia,,Masculino,False,True
168,Mariana,3710014119,94,475,Protección,Bangkok,Tailandia,,Masculino,True,False
169,Alejandro,2548364243,43,129,Armada,Singapur,Singapur,Tiene condecoración,Masculino,False,False
170,Elena,7012972816,56,765,Protección,Manila,Filipinas,,Femenino,True,False
171,Pablo,2095057448,85,692,Mininterior,Singapur,Singapur,No tiene observación disciplinaria,Masculino,False,True
172,Jorge,5876090118,27,632,Armada,Roma,Italia,No tiene condecoración,Masculino,True,True
173,Elena,8276662353,30,11,Colfondos,Manila,Filipinas,,Masculino,True,True
174,Pablo,1720186467,37,31,Porvenir,Barcelona,España,,Masculino,True,True
175,Mariana,6253234558,71,20,Colfondos,Bangkok,Tailandia,,Masculino,False,True
176,Jorge,7627717104,80,698,Fondo extranjero,Barcelona,España,,Femenino,False,True
177,Carlos,9153594609,88,54,Porvenir,Singapur,Singapur,,Femenino,True,False
178,Alejandro,8260700804,87,294,Porvenir,París,Francia,,Masculino,False,True
179,Alejandro,8653647605,98,525,Inpec,París,Francia,No tiene hijos en el Inpec|Tiene condecoración,Femenino,False,False
180,Pablo,8785166863,24,438,Colfondos,Madrid,España,,Femenino,False,True
181,Ana,2724727983,68,663,Armada,Bangkok,Tailandia,Tiene condecoración,Femenino,True,False
182,Carlos,6781430614,59,592,Inpec,Madrid,España,No tiene hijos en el Inpec|No tiene condecoración,Femenino,False,False
183,Alejandro,7773946237,43,193,Mininterior,Manila,Filipinas,Tiene observación disciplinaria,Masculino,True,False
184,Alejandro,1216836636,43,170,Protección,Abu Dabi,Emiratos Árabes Unidos,,Femenino,True,False
185,Ana,4520516679,30,580,Colfondos,París,Francia,,Femenino,True,True
186,Pablo,8665676690,66,658,Old Mutual,Madrid,España,,Masculino,False,True
187,Monica,8989408992,42,643,Armada,Bangkok,Tailandia,No tiene condecoración,Masculino,False,True
188,Elena,6086203214,66,595,Armada,Roma,Italia,Tiene condecoración,Masculino,True,False
189,Carlos,9267113828,19,641,Inpec,Cartagena,Colombia,No tiene hijos en el Inpec|Tiene condecoración,Masculino,True,False
190,Isabel,7163877948,26,388,Fondo extranjero,Abu Dabi,Emiratos Árabes Unidos,,Masculino,True,True
191,Isabel,9355223334,74,786,Fondo extranjero,París,Francia,,Femenino,True,False
192,Carlos,1089322888,54,715,Minsalud,Barcelona,España,No tiene observación disciplinaria,Masculino,False,True
193,Ana,8859046823,97,490,Mininterior,Roma,Italia,Tiene observación disciplinaria,Masculino,True,True
194,Alejandro,6743045911,24,264,Mininterior,Bangkok,Tailandia,No tiene observación disciplinaria,Masculino,False,False
195,Alejandro,7459987508,91,666,Fondo extranjero,Bangkok,Tailandia,,Masculino,False,False
196,Jorge,3285142821,71,504,Fondo extranjero,Bangkok,Tailandia,,Femenino,True,False
197,Lucia,3209059353,87,663,Armada,Barcelona,España,Tiene condecoración,Masculino,True,True
198,Isabel,7870663218,78,234,Protección,Cartagena,Colombia,,Masculino,True,False
199,Ana,9242364845,26,403,Fondo extranjero,Londres,Reino Unido,,Femenino,True,True
200,Alejandro,8713453518,100,707,Mininterior,Singapur,Singapur,Tiene observación disciplinaria,Femenino,True,True
201,Pablo,2801894936,68,299,Minsalud,Singapur,Singapur,Tiene observación disciplinaria,Masculino,False,False
202,Lucia,2356318970,20,269,Mininterior,París,Francia,Tiene observación disciplinaria,Femenino,True,True
203,Alejandro,6564554045,100,582,Armada,Cartagena,Colombia,No tiene condecoración,Masculino,False,False
204,Mariana,7884359197,38,644,Porvenir,Roma,Italia,,Femenino,True,False
205,Pablo,9639702774,19,397,Policía,Roma,Italia,Tiene familiares en la Policía|No es el de mayor edad,Femenino,True,True
206,Carlos,9734096547,86,710,Policía,Manila,Filipinas,Tiene familiares en la Policía|No es el de mayor edad,Masculino,True,True
207,Isabel,3046361100,54,569,Protección,Cartagena,Colombia,,Masculino,True,False
208,Mariana,9375115852,23,437,Protección,Madrid,España,,Masculino,True,True
209,Mariana,4005135841,99,697,Policía,Abu Dabi,Emiratos Árabes Unidos,Tiene familiares en la Policía|No es el de mayor edad,Femenino,False,True
210,Isabel,5851134206,39,518,Mininterior,Bangkok,Tailandia,Tiene observación disciplinaria,Masculino,False,True
211,Lucia,5610188367,60,459,Minsalud,Barcelona,España,Tiene observación disciplinaria,Masculino,True,True
212,Carlos,2849104610,83,710,Inpec,Manila,Filipinas,Tiene hijos en el Inpec|No tiene condecoración,Masculino,False,False
213,Monica,9554765768,76,481,Minsalud,Abu Dabi,Emiratos Árabes Unidos,Tiene observación disciplinaria,Femenino,False,False
214,Isabel,4364158233,27,607,Armada,Barcelona,España,No tiene condecoración,Masculino,True,False
215,Isabel,9513731682,26,256,Policía,Roma,Italia,Tiene familiares en la Policía|No es el de mayor edad,Femenino,False,False
216,Monica,8992838148,97,217,Inpec,Singapur,Singapur,No tiene hijos en el Inpec|No tiene condecoración,Masculino,False,False
217,Pablo,1094491771,96,72,Armada,Singapur,Singapur,No tiene condecoración,Masculino,True,False
218,Elena,4500277427,91,443,Inpec,Roma,Italia,No tiene hijos en el Inpec|No tiene condecoración,Femenino,True,False
219,Mariana,3178852174,83,492,Policía,Roma,Italia,Tiene familiares en la Policía|No es el de mayor edad,Femenino,True,True
220,Ana,7585741242,35,562,Inpec,Londres,Reino Unido,No tiene hijos en el Inpec|No tiene condecoración,Masculino,False,True
221,Elena,2485569699,47,425,Mininterior,Barcelona,España,No tiene observación disciplinaria,Femenino,True,True
222,Jorge,9315237542,37,418,Inpec,Barcelona,España,Tiene hijos en el Inpec|No tiene condecoración,Femenino,False,False
223,Isabel,1218581966,99,143,Porvenir,Cartagena,Colombia,,Masculino,False,True
224,Pablo,7241419854,62,182,Inpec,Londres,Reino Unido,Tiene hijos en el Inpec|Tiene condecoración,Masculino,True,True
225,Pablo,6146244887,90,206,Colfondos,Londres,Reino Unido,,Masculino,True,True
226,Lucia,7513669748,89,591,Fondo extranjero,Madrid,España,,Masculino,False,True
227,Lucia,2291815328,55,466,Fondo extranjero,París,Francia,,Masculino,False,True
228,Pablo,2414114918,26,750,Protección,Londres,Reino Unido,,Femenino,False,False
229,Monica,9570402264,70,423,Policía,Barcelona,España,Tiene familiares en la Policía|No es el de mayor edad,Masculino,False,False
230,Elena,6887093670,47,26,Inpec,Cartagena,Colombia,Tiene hijos en el Inpec|No tiene condecoración,Masculino,False,True
231,Lucia,7448326198,29,411,Colfondos,Barcelona,España,,Femenino,False,True
232,Jorge,4487898143,30,346,Policía,Singapur,Singapur,Tiene familiares en la Policía|No es el de mayor edad,Femenino,False,True
233,Mariana,5387647269,48,151,Policía,Manila,Filipinas,Tiene familiares en la Policía|No es el de mayor edad,Femenino,True,True
234,Alejandro,6487452312,54,384,Old Mutual,Bangkok,Tailandia,,Femenino,True,True
235,Monica,5805673070,27,512,Porvenir,Londres,Reino Unido,,Femenino,True,False
236,Jorge,5848052092,77,618,Policía,Bangkok,Tailandia,Tiene familiares en la Policía|No es el de mayor edad,Masculino,False,True
237,Elena,2946689132,26,41,Mininterior,Abu Dabi,Emiratos Árabes Unidos,No tiene observación disciplinaria,Masculino,False,True
238,Monica,5503355487,42,663,Protección,Madrid,España,,Masculino,False,True
239,Jorge,5364233695,31,279,Protección,Singapur,Singapur,,Femenino,False,False
240,Ana,9171058934,49,627,Colfondos,Bangkok,Tailandia,,Masculino,True,True
241,Isabel,6216551611,92,177,Minsalud,Bangkok,Tailandia,Tiene observación disciplinaria,Femenino,False,False
242,Alejandro,8321115554,47,321,Armada,Cartagena,Colombia,Tiene condecoración,Masculino,False,True
243,Pablo,2279066378,83,169,Policía,Abu Dabi,Emiratos Árabes Unidos,Tiene familiares en la Policía|No es el de mayor edad,Masculino,False,True
244,Elena,4946749462,66,551,Colfondos,París,Francia,,Masculino,True,False
245,Mariana,9654144643,19,231,Old Mutual,Barcelona,España,,Femenino,True,False
246,Lucia,9601549332,22,506,Fondo extranjero,Cartagena,Colombia,,Masculino,False,True
247,Jorge,1497148055,37,33,Fondo extranjero,Roma,Italia,,Masculino,False,True
248,Isabel,5934930903,94,340,Old Mutual,Singapur,Singapur,,Femenino,False,False
249,Jorge,2700918474,98,505,Mininterior,París,Francia,No tiene observación disciplinaria,Femenino,True,True
250,Alejandro,4633339683,28,34,Mininterior,Cartagena,Colombia,No tiene observación disciplinaria,Masculino,False,True
251,Elena,2647717574,39,236,Inpec,París,Francia,No tiene hijos en el Inpec|No tiene condecoración,Femenino,True,True
252,Jorge,5045944352,56,76,Policía,Roma,Italia,Tiene familiares en la Policía|No es el de mayor edad,Femenino,False,True
253,Isabel,8186179234,21,467,Colfondos,París,Francia,,Masculino,False,True
254,Jorge,4207730980,90,107,Minsalud,París,Francia,No tiene observación disciplinaria,Masculino,True,False
255,Elena,8287757320,24,187,Policía,Singapur,Singapur,Tiene familiares en la Policía|No es el de mayor edad,Masculino,True,True
256,Alejandro,4264117397,26,383,Fondo extranjero,Abu Dabi,Emiratos Árabes Unidos,,Masculino,False,False
257,Monica,4304957113,80,725,Minsalud,Abu Dabi,Emiratos Árabes Unidos,No tiene observación disciplinaria,Masculino,True,False
258,Lucia,3023439658,76,505,Colfondos,Cartagena,Colombia,,Femenino,False,False
259,Ana,3607339416,94,309,Minsalud,Roma,Italia,Tiene observación disciplinaria,Masculino,False,True
260,Isabel,1094125789,98,545,Mininterior,Londres,Reino Unido,No tiene observación disciplinaria,Masculino,False,True
261,Elena,8625644126,43,754,Armada,Manila,Filipinas,No tiene condecoración,Masculino,True,False
262,Elena,9810267648,54,626,Old Mutual,Londres,Reino Unido,,Masculino,True,False
263,Jorge,2828822555,73,31,Inpec,Abu Dabi,Emiratos Árabes Unidos,No tiene hijos en el Inpec|No tiene condecoración,Femenino,True,True
264,Lucia,9182508105,41,561,Minsalud,Barcelona,España,No tiene observación disciplinaria,Femenino,True,False
265,Jorge,6097617616,34,432,Minsalud,Roma,Italia,No tiene observación disciplinaria,Femenino,False,False
266,Isabel,1275821600,42,434,Inpec,Cartagena,Colombia,Tiene hijos en el Inpec|Tiene condecoración,Masculino,True,True
267,Ana,7668461256,69,6,Porvenir,Abu Dabi,Emiratos Árabes Unidos,,Masculino,True,False
268,Mariana,4979994870,95,495,Porvenir,Madrid,España,,Masculino,True,True
269,Ana,4640859383,52,134,Mininterior,Roma,Italia,No tiene observación disciplinaria,Masculino,False,False
270,Elena,7208186379,74,58,Inpec,Cartagena,Colombia,Tiene hijos en el Inpec|Tiene condecoración,Femenino,True,False
271,Monica,2786328017,24,574,Armada,Bangkok,Tailandia,Tiene condecoración,Masculino,False,False
272,Ana,3851696583,75,185,Porvenir,Cartagena,Colombia,,Femenino,False,False
273,Isabel,4117459597,65,670,Minsalud,Singapur,Singapur,No tiene observación disciplinaria,Femenino,True,False
