Nombre,Documento,Edad,Semanas_Cotizadas,Fondo,Ciudad,Pais
Ana,9426151865,61,474,Porvenir,Abu Dabi,Emiratos Árabes Unidos
Pablo,7747615635,42,517,Old Mutual,Manila,Filipinas
Isabel,7040855486,32,154,Skandia,París,Francia
Monica,9894147861,90,49,Skandia,París,Francia
Monica,7956813190,87,219,Porvenir,Singapur,Singapur
Monica,3172851698,98,536,Old Mutual,Singapur,Singapur
Elena,1101411674,38,35,Porvenir,Singapur,Singapur
Carlos,9721901606,81,98,Porvenir,Abu Dabi,Emiratos Árabes Unidos
Elena,2588542167,71,174,Protección,Roma,Italia
Ana,7020000257,69,577,Protección,Abu Dabi,Emiratos Árabes Unidos
Ana,6045699437,47,663,Old Mutual,Londres,Reino Unido
Mariana,8915821011,83,333,Skandia,Abu Dabi,Emiratos Árabes Unidos
Pablo,6399452768,65,48,Old Mutual,Abu Dabi,Emiratos Árabes Unidos
Carlos,7333278346,79,414,Protección,Cartagena,Colombia
Jorge,9080406469,57,790,Porvenir,Bangkok,Tailandia
Pablo,2489502353,100,87,Old Mutual,Cartagena,Colombia
Jorge,6960303002,89,155,Colfondos,Barcelona,España
Ana,1606206553,73,673,Colfondos,Singapur,Singapur
Isabel,3398767194,94,274,Protección,Abu Dabi,Emiratos Árabes Unidos
Carlos,8207526675,76,652,Colfondos,Cartagena,Colombia
Carlos,4040080038,24,387,Protección,Madrid,España
Monica,8119658102,80,339,Porvenir,Bangkok,Tailandia
Ana,8840911862,29,659,Skandia,Madrid,España
Jorge,6092326132,25,322,Colfondos,Cartagena,Colombia
Jorge,8403089540,69,306,Old Mutual,Londres,Reino Unido
Alejandro,5047453212,29,568,Porvenir,Barcelona,España
Pablo,9728259558,52,486,Protección,Madrid,España
Carlos,9623090469,22,300,Old Mutual,Singapur,Singapur
Lucia,2961588501,29,664,Colfondos,Londres,Reino Unido
Lucia,6072882354,56,421,Colfondos,Londres,Reino Unido
Elena,1831104065,43,578,Old Mutual,Singapur,Singapur
Monica,9987861703,96,385,Colfondos,Madrid,España
Pablo,6282295674,46,724,Old Mutual,Barcelona,España
Ana,6217285633,20,140,Old Mutual,Roma,Italia
Isabel,3127659060,26,698,Protección,Manila,Filipinas
Carlos,8407918363,77,151,Skandia,Cartagena,Colombia
Jorge,3386298190,92,64,Skandia,Madrid,España
Jorge,8151751828,50,379,Colfondos,Barcelona,España
Ana,5948560959,71,314,Skandia,Roma,Italia
Isabel,6796755607,70,700,Skandia,Abu Dabi,Emiratos Árabes Unidos
Mariana,7256396091,26,345,Protección,Roma,Italia
Jorge,8465259718,65,307,Old Mutual,Cartagena,Colombia
Isabel,6304965712,23,632,Colfondos,Londres,Reino Unido
Alejandro,5776223636,81,339,Skandia,Abu Dabi,Emiratos Árabes Unidos
Mariana,7675619897,36,58,Old Mutual,Singapur,Singapur
Pablo,6597399478,100,127,Porvenir,Singapur,Singapur
Pablo,5972651353,60,644,Colfondos,Bangkok,Tailandia
Lucia,6882010046,35,460,Porvenir,Madrid,España
Ana,1259737228,46,707,Colfondos,Singapur,Singapur
Ana,5054901884,33,506,Protección,París,Francia
Pablo,7258091079,61,387,Skandia,Roma,Italia
Isabel,5404305169,24,116,Porvenir,Cartagena,Colombia
Mariana,6630692730,23,181,Skandia,Manila,Filipinas
Jorge,7800833146,71,672,Protección,París,Francia
Mariana,9814851082,29,513,Porvenir,Londres,Reino Unido
Elena,5016366484,18,179,Protección,Roma,Italia
Carlos,4627214800,72,670,Skandia,Londres,Reino Unido
Pablo,9418676841,40,240,Protección,Barcelona,España
Elena,8996988147,87,614,Protección,Londres,Reino Unido
Pablo,4168113009,84,719,Old Mutual,Roma,Italia
Lucia,1270443660,76,775,Porvenir,Singapur,Singapur
Monica,3509864471,84,703,Colfondos,Manila,Filipinas
Elena,9618334230,98,351,Skandia,Manila,Filipinas
Lucia,4588251080,80,758,Old Mutual,Madrid,España
Carlos,7434902268,69,184,Old Mutual,Cartagena,Colombia
Monica,9673085460,71,557,Porvenir,Cartagena,Colombia
Isabel,5991547776,32,86,Skandia,París,Francia
Pablo,7403943068,81,198,Porvenir,Cartagena,Colombia
Mariana,1060351563,41,489,Old Mutual,Singapur,Singapur
Alejandro,8362775166,87,419,Colfondos,Roma,Italia
Jorge,5113699225,35,646,Porvenir,París,Francia
Mariana,3710014119,94,475,Porvenir,Bangkok,Tailandia
Alejandro,2548364243,43,129,Porvenir,Singapur,Singapur
Elena,7012972816,56,765,Porvenir,Manila,Filipinas
Pablo,2095057448,85,692,Colfondos,Singapur,Singapur
Jorge,5876090118,27,632,Porvenir,Roma,Italia
Elena,8276662353,30,11,Old Mutual,Manila,Filipinas
Pablo,1720186467,37,31,Colfondos,Barcelona,España
Mariana,6253234558,71,20,Colfondos,Bangkok,Tailandia
Jorge,7627717104,80,698,Colfondos,Barcelona,España
Carlos,9153594609,88,54,Skandia,Singapur,Singapur
Alejandro,8260700804,87,294,Skandia,París,Francia
Alejandro,8653647605,98,525,Porvenir,París,Francia
Pablo,8785166863,24,438,Old Mutual,Madrid,España
Ana,2724727983,68,663,Old Mutual,Bangkok,Tailandia
Carlos,6781430614,59,592,Old Mutual,Madrid,España
Alejandro,7773946237,43,193,Colfondos,Manila,Filipinas
Alejandro,1216836636,43,170,Protección,Abu Dabi,Emiratos Árabes Unidos
Ana,4520516679,30,580,Porvenir,París,Francia
Pablo,8665676690,66,658,Skandia,Madrid,España
Monica,8989408992,42,643,Skandia,Bangkok,Tailandia
Elena,6086203214,66,595,Old Mutual,Roma,Italia
Carlos,9267113828,19,641,Skandia,Cartagena,Colombia
Isabel,7163877948,26,388,Protección,Abu Dabi,Emiratos Árabes Unidos
Isabel,9355223334,74,786,Protección,París,Francia
Carlos,1089322888,54,715,Skandia,Barcelona,España
Ana,8859046823,97,490,Old Mutual,Roma,Italia
Alejandro,6743045911,24,264,Skandia,Bangkok,Tailandia
Alejandro,7459987508,91,666,Colfondos,Bangkok,Tailandia
Jorge,3285142821,71,504,Protección,Bangkok,Tailandia
Lucia,3209059353,87,663,Protección,Barcelona,España
Isabel,7870663218,78,234,Porvenir,Cartagena,Colombia
Ana,9242364845,26,403,Skandia,Londres,Reino Unido
Alejandro,8713453518,100,707,Protección,Singapur,Singapur
Pablo,2801894936,68,299,Protección,Singapur,Singapur
Lucia,2356318970,20,269,Porvenir,París,Francia
Alejandro,6564554045,100,582,Old Mutual,Cartagena,Colombia
Mariana,7884359197,38,644,Skandia,Roma,Italia
Pablo,9639702774,19,397,Porvenir,Roma,Italia
Carlos,9734096547,86,710,Colfondos,Manila,Filipinas
Isabel,3046361100,54,569,Skandia,Cartagena,Colombia
Mariana,9375115852,23,437,Skandia,Madrid,España
Mariana,4005135841,99,697,Protección,Abu Dabi,Emiratos Árabes Unidos
Isabel,5851134206,39,518,Old Mutual,Bangkok,Tailandia
Lucia,5610188367,60,459,Skandia,Barcelona,España
Carlos,2849104610,83,710,Porvenir,Manila,Filipinas
Monica,9554765768,76,481,Protección,Abu Dabi,Emiratos Árabes Unidos
Isabel,4364158233,27,607,Porvenir,Barcelona,España
Isabel,9513731682,26,256,Porvenir,Roma,Italia
Monica,8992838148,97,217,Porvenir,Singapur,Singapur
Pablo,1094491771,96,72,Skandia,Singapur,Singapur
Elena,4500277427,91,443,Colfondos,Roma,Italia
Mariana,3178852174,83,492,Old Mutual,Roma,Italia
Ana,7585741242,35,562,Colfondos,Londres,Reino Unido
Elena,2485569699,47,425,Old Mutual,Barcelona,España
Jorge,9315237542,37,418,Skandia,Barcelona,España
Isabel,1218581966,99,143,Porvenir,Cartagena,Colombia
Pablo,7241419854,62,182,Old Mutual,Londres,Reino Unido
Pablo,6146244887,90,206,Skandia,Londres,Reino Unido
Lucia,7513669748,89,591,Colfondos,Madrid,España
Lucia,2291815328,55,466,Old Mutual,París,Francia
Pablo,2414114918,26,750,Porvenir,Londres,Reino Unido
Monica,9570402264,70,423,Colfondos,Barcelona,España
Elena,6887093670,47,26,Porvenir,Cartagena,Colombia
Lucia,7448326198,29,411,Old Mutual,Barcelona,España
Jorge,4487898143,30,346,Colfondos,Singapur,Singapur
Mariana,5387647269,48,151,Old Mutual,Manila,Filipinas
Alejandro,6487452312,54,384,Colfondos,Bangkok,Tailandia
Monica,5805673070,27,512,Protección,Londres,Reino Unido
Jorge,5848052092,77,618,Colfondos,Bangkok,Tailandia
Elena,2946689132,26,41,Old Mutual,Abu Dabi,Emiratos Árabes Unidos
Monica,5503355487,42,663,Skandia,Madrid,España
Jorge,5364233695,31,279,Colfondos,Singapur,Singapur
Ana,9171058934,49,627,Protección,Bangkok,Tailandia
Isabel,6216551611,92,177,Old Mutual,Bangkok,Tailandia
Alejandro,8321115554,47,321,Protección,Cartagena,Colombia
Pablo,2279066378,83,169,Skandia,Abu Dabi,Emiratos Árabes Unidos
Elena,4946749462,66,551,Colfondos,París,Francia
Mariana,9654144643,19,231,Colfondos,Barcelona,España
Lucia,9601549332,22,506,Old Mutual,Cartagena,Colombia
Jorge,1497148055,37,33,Porvenir,Roma,Italia
Isabel,5934930903,94,340,Colfondos,Singapur,Singapur
Jorge,2700918474,98,505,Old Mutual,París,Francia
Alejandro,4633339683,28,34,Old Mutual,Cartagena,Colombia
Elena,2647717574,39,236,Colfondos,París,Francia
Jorge,5045944352,56,76,Porvenir,Roma,Italia
Isabel,8186179234,21,467,Colfondos,París,Francia
Jorge,4207730980,90,107,Skandia,París,Francia
Elena,8287757320,24,187,Old Mutual,Singapur,Singapur
Alejandro,4264117397,26,383,Colfondos,Abu Dabi,Emiratos Árabes Unidos
Monica,4304957113,80,725,Porvenir,Abu Dabi,Emiratos Árabes Unidos
Lucia,3023439658,76,505,Colfondos,Cartagena,Colombia
Ana,3607339416,94,309,Porvenir,Roma,Italia
Isabel,1094125789,98,545,Colfondos,Londres,Reino Unido
Elena,8625644126,43,754,Skandia,Manila,Filipinas
Elena,9810267648,54,626,Skandia,Londres,Reino Unido
Jorge,2828822555,73,31,Old Mutual,Abu Dabi,Emiratos Árabes Unidos
Lucia,9182508105,41,561,Colfondos,Barcelona,España
Jorge,6097617616,34,432,Skandia,Roma,Italia
Isabel,1275821600,42,434,Colfondos,Cartagena,Colombia
Ana,7668461256,69,6,Skandia,Abu Dabi,Emiratos Árabes Unidos
Mariana,4979994870,95,495,Protección,Madrid,España
Ana,4640859383,52,134,Colfondos,Roma,Italia
Elena,7208186379,74,58,Colfondos,Cartagena,Colombia
Monica,2786328017,24,574,Colfondos,Bangkok,Tailandia
Ana,3851696583,75,185,Porvenir,Cartagena,Colombia
Isabel,4117459597,65,670,Old Mutual,Singapur,Singapur
Alejandro,7805703009,94,623,Colfondos,Cartagena,Colombia
Isabel,9323632399,65,453,Colfondos,Bangkok,Tailandia
Ana,5742950074,42,198,Colfondos,Abu Dabi,Emiratos Árabes Unidos
Mariana,2015339402,44,198,Colfondos,Londres,Reino Unido
Jorge,5913811380,70,478,Protección,Manila,Filipinas
Jorge,6050311729,19,734,Porvenir,Londres,Reino Unido
Alejandro,8496897596,88,117,Skandia,Roma,Italia
Isabel,7474087615,77,290,Porvenir,Cartagena,Colombia
Monica,1110779564,83,265,Old Mutual,Roma,Italia
Pablo,6303520845,83,420,Protección,Bangkok,Tailandia
Elena,1848992641,83,578,Old Mutual,Barcelona,España
Alejandro,3249259053,20,522,Porvenir,Roma,Italia
Lucia,3909094294,51,398,Colfondos,Abu Dabi,Emiratos Árabes Unidos
Pablo,6317583655,77,419,Skandia,Barcelona,España
Carlos,6649279114,66,116,Skandia,Manila,Filipinas
Pablo,4069399338,48,233,Colfondos,Madrid,España
Mariana,6263891204,32,412,Old Mutual,Manila,Filipinas
Pablo,3449004457,90,229,Old Mutual,Londres,Reino Unido
Jorge,2546656013,35,352,Porvenir,Madrid,España
Monica,3229135081,29,405,Protección,Barcelona,España
Jorge,3455548259,72,477,Skandia,París,Francia
Jorge,5464121912,25,408,Skandia,Manila,Filipinas
Carlos,9473309041,72,40,Colfondos,Roma,Italia
Monica,7636270837,30,249,Colfondos,Madrid,España
Monica,9204304127,71,751,Colfondos,Madrid,España
Jorge,7882612141,30,780,Skandia,Manila,Filipinas
Alejandro,3760243424,85,768,Porvenir,Manila,Filipinas
Alejandro,7050510993,94,376,Porvenir,Abu Dabi,Emiratos Árabes Unidos
Lucia,5267783770,45,508,Porvenir,Bangkok,Tailandia
Pablo,9827644367,63,464,Colfondos,Cartagena,Colombia
Mariana,5728294711,23,610,Colfondos,Manila,Filipinas
Pablo,6263827782,99,777,Porvenir,Barcelona,España
Carlos,9094740615,43,169,Protección,Roma,Italia
Lucia,4859256084,67,677,Skandia,Singapur,Singapur
Carlos,3696301308,32,317,Old Mutual,París,Francia
Alejandro,9630722319,25,330,Protección,Manila,Filipinas
Isabel,9471637472,99,174,Protección,París,Francia
Ana,8761441884,78,717,Colfondos,Roma,Italia
Monica,7848015602,97,486,Protección,Abu Dabi,Emiratos Árabes Unidos
Alejandro,5180828311,47,158,Skandia,París,Francia
Pablo,2775731785,75,112,Old Mutual,Singapur,Singapur
Isabel,6603547120,97,48,Colfondos,Bangkok,Tailandia
Carlos,4703140554,69,761,Old Mutual,Abu Dabi,Emiratos Árabes Unidos
Jorge,6244265218,25,455,Porvenir,Bangkok,Tailandia
Mariana,2560217327,53,768,Old Mutual,Bangkok,Tailandia
Lucia,2059385226,28,569,Old Mutual,Madrid,España
Isabel,9657267251,26,475,Old Mutual,Bangkok,Tailandia
Pablo,5306991885,66,389,Colfondos,Roma,Italia
Lucia,1792414357,72,88,Porvenir,Manila,Filipinas
Lucia,9000261028,29,306,Skandia,Cartagena,Colombia
Pablo,3915140001,42,59,Porvenir,Bangkok,Tailandia
Carlos,9685747421,92,209,Old Mutual,Bangkok,Tailandia
Mariana,4555806189,62,145,Old Mutual,Abu Dabi,Emiratos Árabes Unidos
Elena,4416260011,77,536,Old Mutual,Londres,Reino Unido
Lucia,9182037142,19,741,Protección,Roma,Italia
Jorge,2883182860,99,568,Colfondos,Madrid,España
Alejandro,8100968281,58,31,Old Mutual,Cartagena,Colombia
Elena,6583832905,39,180,Colfondos,Madrid,España
Jorge,5827141254,73,449,Skandia,Singapur,Singapur
Ana,7805795567,64,140,Old Mutual,Bangkok,Tailandia
Monica,9697256082,43,781,Skandia,Bangkok,Tailandia
Alejandro,2642313916,24,131,Old Mutual,Abu Dabi,Emiratos Árabes Unidos
Elena,2474342976,41,129,Porvenir,Bangkok,Tailandia
Jorge,4596981976,82,314,Protección,Singapur,Singapur
Pablo,7147060272,67,108,Protección,Barcelona,España
Alejandro,2685673946,100,207,Colfondos,Londres,Reino Unido
Jorge,7736038556,50,513,Skandia,Bangkok,Tailandia
Carlos,4610380429,21,40,Colfondos,Madrid,España
Pablo,8803780669,92,426,Colfondos,Bangkok,Tailandia
Monica,7769295172,99,715,Skandia,Madrid,España
Lucia,5409048300,44,763,Porvenir,Cartagena,Colombia
Alejandro,3881296257,86,720,Skandia,Londres,Reino Unido
Jorge,6368161754,45,446,Skandia,Londres,Reino Unido
Mariana,8022546845,78,92,Porvenir,París,Francia
Elena,4762241492,80,207,Old Mutual,Cartagena,Colombia
Pablo,5120922638,44,308,Porvenir,Cartagena,Colombia
Mariana,7333889854,43,331,Skandia,Madrid,España
Pablo,7374199615,28,248,Protección,Cartagena,Colombia
Ana,5101182932,59,721,Skandia,Bangkok,Tailandia
Elena,8631017398,39,204,Colfondos,Manila,Filipinas
Carlos,8337210331,61,625,Colfondos,Manila,Filipinas
Ana,9679131837,95,82,Old Mutual,Manila,Filipinas
Isabel,2371504078,37,556,Skandia,Singapur,Singapur
Lucia,5749606131,52,504,Colfondos,Roma,Italia
Jorge,9073157358,32,374,Skandia,Manila,Filipinas
Carlos,6563528143,44,344,Skandia,Londres,Reino Unido
Pablo,3365634217,67,198,Old Mutual,Roma,Italia
Monica,5773096780,62,308,Skandia,Madrid,España
Mariana,3252841207,53,293,Protección,Barcelona,España
Elena,1664764322,24,632,Old Mutual,Cartagena,Colombia
Pablo,2763949031,36,739,Skandia,Singapur,Singapur
Alejandro,3307776759,25,348,Protección,Madrid,España
Pablo,5787041540,44,164,Skandia,Abu Dabi,Emiratos Árabes Unidos
Pablo,3605883446,51,139,Porvenir,Cartagena,Colombia
Lucia,4648240028,42,613,Porvenir,Barcelona,España
Carlos,2024441850,98,102,Protección,Barcelona,España
Ana,3850663097,42,28,Skandia,Bangkok,Tailandia
Pablo,5549519668,45,326,Porvenir,Abu Dabi,Emiratos Árabes Unidos
Isabel,8802697659,96,717,Colfondos,Bangkok,Tailandia
Isabel,2480797364,89,45,Skandia,Abu Dabi,Emiratos Árabes Unidos
Isabel,6417226407,20,462,Porvenir,Abu Dabi,Emiratos Árabes Unidos
Ana,3597174066,62,402,Colfondos,Roma,Italia
Jorge,6264544043,57,49,Porvenir,París,Francia
Ana,7776277399,51,287,Skandia,Cartagena,Colombia
Alejandro,1349294250,26,106,Colfondos,Cartagena,Colombia
Monica,2720920088,26,238,Protección,Londres,Reino Unido
Monica,8199985882,84,109,Colfondos,Londres,Reino Unido
Monica,9542771938,88,220,Colfondos,Manila,Filipinas
Monica,3424656000,99,353,Skandia,Cartagena,Colombia
Alejandro,5009362228,44,677,Skandia,Madrid,España
Lucia,7047908222,44,82,Porvenir,Madrid,España
Ana,7473521229,99,577,Skandia,Londres,Reino Unido
Mariana,9915760492,64,772,Colfondos,París,Francia
Carlos,2758020616,80,474,Protección,Singapur,Singapur
Jorge,6429432715,38,656,Skandia,Abu Dabi,Emiratos Árabes Unidos
Monica,6461775169,82,358,Colfondos,Madrid,España
Carlos,9023476088,37,479,Porvenir,Cartagena,Colombia
Pablo,2509090079,84,604,Protección,Bangkok,Tailandia
Mariana,6611510902,34,735,Protección,Cartagena,Colombia
Ana,5205278145,57,244,Colfondos,Barcelona,España
Mariana,9246784689,87,785,Skandia,Singapur,Singapur
Carlos,8892799692,18,241,Porvenir,Bangkok,Tailandia
Monica,3360161769,88,366,Old Mutual,Roma,Italia
Carlos,8040075686,88,797,Colfondos,Manila,Filipinas
Isabel,5085108980,44,247,Porvenir,Manila,Filipinas
Carlos,5235667897,37,596,Skandia,París,Francia
Isabel,4907267344,55,36,Porvenir,Londres,Reino Unido
Isabel,8902929938,95,676,Porvenir,Madrid,España
Monica,9971035339,80,568,Skandia,Manila,Filipinas
Carlos,9386180751,18,248,Porvenir,Bangkok,Tailandia
Carlos,5277448035,43,639,Skandia,Barcelona,España
Alejandro,9645117789,20,540,Protección,Roma,Italia
Elena,8860010241,38,261,Colfondos,Singapur,Singapur
Isabel,2819537855,65,483,Old Mutual,Singapur,Singapur
Lucia,2719821839,34,700,Protección,París,Francia
Jorge,7846639483,37,742,Skandia,Cartagena,Colombia
Lucia,4869786452,34,416,Colfondos,Londres,Reino Unido
Carlos,2941722101,26,194,Protección,Abu Dabi,Emiratos Árabes Unidos
Alejandro,6892754565,33,208,Protección,Manila,Filipinas
Mariana,8523178320,37,297,Protección,Londres,Reino Unido
Jorge,2842920996,38,240,Protección,Singapur,Singapur
Jorge,9260114997,79,788,Skandia,Barcelona,España
Carlos,9028902348,42,647,Old Mutual,Barcelona,España
Lucia,7905825373,79,583,Porvenir,Abu Dabi,Emiratos Árabes Unidos
Mariana,7095779382,95,636,Protección,Madrid,España
Mariana,3856682978,48,353,Skandia,Abu Dabi,Emiratos Árabes Unidos
Monica,4062447616,60,260,Old Mutual,Manila,Filipinas
Jorge,5560921101,96,334,Protección,Bangkok,Tailandia
Elena,8361239973,92,290,Protección,Abu Dabi,Emiratos Árabes Unidos
Mariana,9212313295,71,438,Skandia,Londres,Reino Unido
Pablo,1224717591,62,463,Skandia,Londres,Reino Unido
Alejandro,6305736905,91,297,Colfondos,Singapur,Singapur
Carlos,2282372543,31,305,Old Mutual,Londres,Reino Unido
Monica,6959989538,80,700,Protección,Roma,Italia
Elena,5343295159,80,708,Skandia,Singapur,Singapur
Monica,6908790182,76,551,Skandia,Madrid,España
Mariana,4999515986,38,379,Porvenir,Manila,Filipinas
Lucia,5979986707,22,28,Colfondos,Barcelona,España
Pablo,2999100741,62,150,Colfondos,París,Francia
Jorge,2415465789,46,12,Colfondos,Bangkok,Tailandia
Jorge,2888853918,51,125,Skandia,Madrid,España
Elena,8490568456,52,770,Skandia,Madrid,España
Mariana,5549072879,32,372,Skandia,Barcelona,España
Elena,1688680956,65,602,Protección,Abu Dabi,Emiratos Árabes Unidos
Carlos,3004621070,99,629,Old Mutual,Madrid,España
Mariana,8057377664,94,472,Protección,Roma,Italia
Isabel,2678897148,70,116,Old Mutual,París,Francia
Isabel,8224116995,78,752,Colfondos,Barcelona,España
Alejandro,3218273290,92,208,Porvenir,Londres,Reino Unido
Lucia,9980736044,32,145,Colfondos,París,Francia
Monica,3114936367,96,759,Protección,Roma,Italia
Elena,4287505769,60,253,Skandia,Barcelona,España
Lucia,7320283597,74,510,Old Mutual,Cartagena,Colombia
Carlos,9009126349,94,652,Old Mutual,Londres,Reino Unido
Pablo,6039084505,37,279,Protección,Bangkok,Tailandia
Ana,7828066232,52,483,Porvenir,Bangkok,Tailandia
Pablo,2372779337,48,299,Porvenir,Londres,Reino Unido
Ana,8723420541,97,440,Colfondos,Abu Dabi,Emiratos Árabes Unidos
Lucia,9298403461,56,423,Protección,Londres,Reino Unido
Lucia,2305706540,27,494,Skandia,Abu Dabi,Emiratos Árabes Unidos
Monica,7976427640,33,348,Colfondos,Singapur,Singapur
Isabel,7340851628,57,179,Old Mutual,Cartagena,Colombia
Pablo,8397624068,97,78,Porvenir,Manila,Filipinas
Ana,6098114861,76,307,Skandia,Singapur,Singapur
Monica,8091797396,80,644,Protección,Manila,Filipinas
Jorge,5854532376,71,336,Skandia,Manila,Filipinas
Elena,3572234069,43,356,Old Mutual,Barcelona,España
Alejandro,8229711866,99,514,Skandia,Barcelona,España
